ID;project;merge commit;className;method;left modifications;right modifications;Summary of changes made by left;Summary of changes made by right;LOI
36;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.Indexer;applyAdvancedTransformation(QueueEntry, String);[321];[288, 358, 331, 287];Left adds a new parameter used to instantiate the local variable scriptExecutable.;Right changes a IF verification and replaces method calls of logger.debug for logger.trace;No
37;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.Indexer;processBlockingQueue(QueueEntry);[176];[161, 198, 201, 189];Left adds a new parameter on constructor to instatiate the local variable executableScript.;Right replaces some method calls of logger.debug to logger.trace, and also removes an old call to write on logger (logger.debug). It assigns a hashmap object to local variable ctx.;No
38;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.Slurper;run();[105];[145, 148];Left adds a new IF statement, which could restrict the assginment value for the local variable startTimestamp.;Right replaces the method calls of logger.warn for logger.error;No
39;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.Slurper;addToStream(Operation, Timestamp<?>, DBObject, String);[752, 747, 748, 751];[736, 737, 738, 739, 740, 741, 742, 743];Left adds new calls for writing on logger (logger.info).;Right adds a new call for writing on logger.;Yes
40;fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;fitnesse.testsystems.slim.tables.SlimTableFactory;SlimTableFactory();[24, 25];[31];Left adds two new elements into a map, by calling the add method addTableTye twice.;Right adds a new element into a map, also calling the method addTableType.;Yes
41;fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;fitnesse.testsystems.slim.tables.SlimTableFactoryTest;setUp();[32, 31];[38];Left adds two entries on the field map.;Right adds one entry on the field map.;Yes
42;hector;0588608e7a2bdf974c985ff546207104f672bf6c;me.prettyprint.cassandra.connection.client.HSaslThriftClient;open();[96, 97, 94, 111, 95];[122];Left changed the local variable 'socket', inserting a try catch and changed the transport attribute.;Right changed the 'transport' variable and used it as a parameter for a method.;No
43;hector;a33a46506656a39d1b0f7780973905665d3b6145;me.prettyprint.cassandra.connection.client.HKerberosThriftClient;open();[88];[69, 70, 71, 72, 73, 74, 75, 76];Left changed the transport statement using the socket variable (changed by right).;Right added a try catch to check if 'param' was null, changing the socket statement.;No
44;hector;213f7887ea70eabdf0705cf8454de29af89e8c38;me.prettyprint.cassandra.connection.HConnectionManager;operateWithFailover(Operation<?>);[267, 268];[200];Left changed the log level from log.error() to log.warn().;Right changed the creation of a local variable called 'stopWatch', changed the creation of a new instance with 'new', calling a method that returns an existing instance (stopWatchFactory.getStopWatch()).;No
45;hector;a33a46506656a39d1b0f7780973905665d3b6145;me.prettyprint.cassandra.connection.client.HThriftClient;open();[164];[147, 148, 149, 150, 151, 152, 169, 153, 154];Left changed the transport statement using the socket variable (changed by right).;Right added a try catch to check if 'param' was null, changing the socket statement. And added a condition to check that the 'transport' attribute was not open (! Transport.isOpen ()).;No
46;HikariCP;1bca94af9ec625f21d1b58ff10efb5be71ab87a6;com.zaxxer.hikari.HikariPool;addConnection();[356, 372, 374, 365];[339, 340, 341, 342, 343, 344, 345, 362, 346, 348];Left adds a new verification an an IF condition, does a refactoring for an old IF, and also adds a call for a local method.;Rights changes the assigment to local variable retries, adds some new IF statements, and sets the field loginTimeout on datasource.;Yes
47;HikariCP;1bca94af9ec625f21d1b58ff10efb5be71ab87a6;com.zaxxer.hikari.HikariConfig;validate();[577, 578, 579, 580, 581, 582];[];Left adds a new IF statement, which may write in logger calling method info;Right removes source code, which would write in logger calling method error or wanr, or even trhows an exception. Changes on formating;Yes
48;java-faker;ca42fcfaf45cae1754c58e02e1d5d2a58ec03561;com.github.javafaker.Faker;Faker(Locale, Random);[69, 59];[70];Left adds an initialization of two fields on constructor.;Right changes the initialization of a different field.;No
49;jenkins;48b2b951dfb3438999ceda330093cac82b857ce6;jenkins.slaves.DefaultJnlpSlaveReceiver;handle(String, JnlpSlaveHandshake);[52];[52, 56, 57];Left changed the return of a condition from false to true.;Right added an IF, checking if !MatchesSecret (nodeName, handshake) is true, changing the error message of the handshake attribute and error method, then returning true.;Yes
50;jsoup;fee4762322f85a1109edd75ccb67f38cf5008c80;org.jsoup.helper.HttpConnection;createConnection(Connection.Request);[609, 610, 611, 612, 613, 614];[617];Left adds a IF statement, allowing extra set fields of the object returned by the method;Rights changes a IF condition, setting more fields of the object returned by the method and accepting more values than before;No
51;jsoup;a8b6982de98ff76ef254031d7152fff57f6bf941;org.jsoup.helper.HttpConnection;execute(Connection.Request, Response);[584, 585, 586];[544, 547];Left changes the value assigned to the local variable bodyStream, and also removes the local variable dataStream. The object bodyStream uses the object conn, that is created based on req (changed by Right).;Right adds a new verification before calling some methods of the parameter req.;Yes
52;jsoup;3f7d2c71dbbbb289c684f339874eed8ac2747fa0;org.jsoup.helper.HttpConnection;execute(Connection.Request, Response);[456];[483, 484, 485];Left adds a new condition (OR) that is reponsible for changing the value of the local variable needsRedirect.;"Right updates another if statement conditions; it changes a set of conditions grouped with AND, to the OR operator. This if is responsible for throw a new exception.";Yes
53;jsoup;a44e18aa3c1fcd25a68a5965f9490d8f7d026509;org.jsoup.nodes.TextNode;outerHtmlHead(StringBuilder, int, Document.OutputSettings);[94];[98];"Left changes the condition of an if statement, which calls the method preserveWhitespace. Now the method only performs its verifications if the node is not null and is an instance of Element type; otherwise, no action is performed and the value of local variable html is not updated.";Right adds a new condition (OR) in an if statement, which may change the value of the parameter accum.;Yes
54;libgdx;da27e2dae56be0a159e82231e5c3a5b83b099063;com.badlogic.gdx.backends.lwjgl3.Lwjgl3Application;newWindow(ApplicationListener, Lwjgl3WindowConfiguration);[318];[325];Left changes four attributes of an object using a set method;Right uses a set method to change the value of an object's attribute;No
55;libgdx;da27e2dae56be0a159e82231e5c3a5b83b099063;com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration;copy(Lwjgl3ApplicationConfiguration);[96, 97, 98, 99];[107];Left assigns new values ​​from the method parameter to four different attributes of the object.;Right assigns a new value from the method parameter to an attribute of the object.;No
56;logback;542843fd04a793fb9e0eea0c84d199e66d7c15af;ch.qos.logback.core.rolling.TimeBasedFileNamingAndTriggeringPolicyBase;start();[45];[52, 53, 54, 55, 56];Extracted a variable from constructor DateTokenConverter creating a Object object (Refactor) called dtc.;Created a condition with the dtc object, checking if getTimeZone is different from null and returning an instance of the RollingCalendar object.;Yes
57;MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;com.xxmassdeveloper.mpchartexample.fragments.SimpleFragment;generateScatterData(int, float, int);[80, 91];[73];"Changes the values passed to the Entry class constructor, inverting the passed parameters, that changes inteferes with a call to setScatterShape modifying an attribute on the ScatterDataSet class . Removes the value ""ChartData.generateXVals(0, count)"" from the ScatterObject creation";"Changes the method that initializes the shapes array to ""ScatterChart.ScatterShape.getAllDefaultShapes()"" that adds new shapes to the shapes variable";No
58;MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;com.xxmassdeveloper.mpchartexample.ScatterChartActivity;onProgressChanged(SeekBar, int, boolean);[178, 168, 188, 204, 173, 205];[183, 186, 191];Left made changes to yVals1, yVals2, and yVals3, then also altered the same object set2 from right but in different attributes. Finally, left modifies the data object, which contains a list with set1, set2, and set3.;Right made changes to set1, set2, and set3, which were created using yVals but are elements of different states. Both sides preserved each other's changes.;No
59;MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;com.xxmassdeveloper.mpchartexample.ScatterChartActivity;onCreate(Bundle);[80, 86, 77, 63];[57];Left refactored by renaming tf to mtfLight and moved the variable initialization to the onCreate method of the superclass. And writes to maxHighlightDistance, and right writes to shapeRendererList.;Right writes to shapeRendererList.;No
60;MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;com.xxmassdeveloper.mpchartexample.LineChartActivity2;onCreate(Bundle);[126];[117];Added a call to the setDrawZeroLine method setting the value for the field mDrawZeroLine at the rightAxis object as false.;Deprecated the method setStartAtZero from the YAxis class, and removed the call for it on the rightAxis object. Added a call to the method setAxisMinValue on the left axis object;No
61;MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;com.xxmassdeveloper.mpchartexample.RadarChartActivitry;onCreate(Bundle);[59, 60, 61, 62];[72];Left, in the animateXY method, writes to the mAnimator attribute,;Right writes to XAxis.xCustomAxisMin. Below this, there are only getters and setters.;No
62;MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative;onCreate(Bundle);[64, 65];[];"On the left side, it altered mChart.getAxisRight().setDrawGridLines(false); and mChart.getAxisRight().setDrawZeroLine(true);.";Right side removed setStartAtZero() from the getAxisRight object. This was probably due to the invalidate() method causing globally observable interference. However, as our focus is on LOI (Local Observability Interference), we should pay attention to these modifications.;No
63;MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;com.xxmassdeveloper.mpchartexample.LineChartActivity1;onCreate(Bundle);[135];[];"On the left side, it altered mChart.getAxisRight().setDrawZeroLine(true);.";On the right side, it removed setStartAtZero() from the getAxisRight object, but it was in a different class from the previous one. This was probably done to avoid globally observable interference caused by invalidate(). However, since our focus is on LOI (Local Observability Interference), we should closely examine these modifications.;No
64;MPAndroidChart;9531ba69895cd64fce48038ffd8df2543eeea1d2;com.github.mikephil.charting.renderer.LineChartRenderer;drawData(Canvas);[];[];On the left side, two conditions were added: (mPathBitmap.getWidth() != mViewPortHandler.getChartWidth()) || (mPathBitmap.getHeight() != mViewPortHandler.getChartHeight()).;On the right side, the last condition was added, and it involved casting to an integer: (int) mViewPortHandler.getChartHeight().;Yes
65;MPAndroidChart;9531ba69895cd64fce48038ffd8df2543eeea1d2;com.github.mikephil.charting.renderer.PieChartRenderer;drawData(Canvas);[];[94];On the left side, two conditions were added: (mPathBitmap.getWidth() != mViewPortHandler.getChartWidth()) || (mPathBitmap.getHeight() != mViewPortHandler.getChartHeight()).;On the right side, the last condition was added, and it involved casting to an integer: (int) mViewPortHandler.getChartHeight().;Yes
66;netty;193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b;org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder;decode(ChannelHandlerContext, Channel, ChannelBuffer);[358, 360];[322, 374];Left updates how variable frameLength is incremented, which is done only if the new conditional in the if statement is true.;Right updates method call failIfNecessary adding a new parameter (boolean value). [But these changes were also done by Left.];Yes
67;okhttp;35166168529bd27281685e56a0a122eff44460e9;com.squareup.okhttp.OkHttpClient;copyWithDefaults();[277, 293];[287];Left changed the object returned by the method using the current object of the class and ass a new value to the field transports.;Right changes the value assigned to result.hostnameverifier adding now an object OkHostnameVerifier.;No
68;okhttp;1151c9853ccc3c9c3211c613b9b845b925f8c6a6;com.squareup.okhttp.internal.bytes.GzipSource;consumeHeader(Deadline);[112];[138];Left does a refactoring by renaming the method getByte on OkBuffer class.;Right does a refactoring by extracting the local method seek to OkBuffers class.;No
69;OpenTripPlanner;4c506dce43775704919d084f0acfba86d251bf4a;org.opentripplanner.routing.spt.MultiShortestPathTree;dominates(State, State);[144, 146, 147, 148, 149, 152, 141];[123];Left renames some local variables and updates three boolean local variables used to define the method return.;Right adds a new if statement, which may return false.;Yes
70;orientdb;a5ce3bcc0a1d196745c575ad6602019f7a6b86f8;com.orientechnologies.orient.core.Orient;startup();[191];[158];Left removes an IF statement and a method call on profiler field, and changes the location of an assignment for field active.;Right change the location of the profiler field instatiation.;No
71;pushy;58901c846e4f0874977c5aabbc34bcb4de3670e0;com.relayrides.pushy.apns.PushManager;handleConnectionFailure(ApnsConnection<T>, Throwable);[481, 482, 483, 484, 485, 476, 478];[490];Left added a local variable called pushManager and created a for loop to iterate over a list of FailedConnectionListener.;"The right developer performed an ""extract method,"" which is a structural refactoring for the method startNewConnection().";No
72;pushy;58901c846e4f0874977c5aabbc34bcb4de3670e0;com.relayrides.pushy.apns.PushManager;handleConnectionClosure(ApnsConnection<T>);[520, 510];[515, 500, 502, 503];Left replaces “new Thread” with “listenerExecutor”;"Right does a refactoring by “extracting"" two local methods.";No
73;quickml;bae968d9a85c0501ba8842a6f88e7fc2c6b78693;quickdt.experiments.OutOfTimeCrossValidatorRunner;getRandomForestBuilder(int, int);[];[42, 43];Left deletes a method call, which set the field maxDepth.;Right renames a local variable RandomForestBuilder, and replaces the method return for that local variable. This variable has a different type related to the method return type on Base commit, but the interface is still the superclass.;No
74;resty-gwt;867b917c43c32acbdcac55767e7f04334006c866;org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator;getMethodCallback(JMethod);[83, 84, 85];[86, 87, 88, 89, 90, 91];changed if statement (condition, and block) on method getMethodCallback(JMethod);extracted variable refactoring and added if statement on method getMethodCallback(JMethod);Yes
75;retrofit;2b6c719c6645f8e48dca6d0047c752069d321bc4;retrofit.RestAdapter;logAndReplaceResponse(String, Response, long);[438];[415];Left writes in log a single time, a whole string, while base writes part of this string in many log operations. So left is not a refactoring.;Rigth extracts a method but adds conditionals to handle the case when the fields are null. So right is not a refactoring either.;Yes
76;retrofit;2b6c719c6645f8e48dca6d0047c752069d321bc4;retrofit.RestAdapter;logAndReplaceRequest(Request);[398];[369];Left writes in log a single time, a whole string, while base writes part of this string in many log operations. So left is not a refactoring.;Rigth extracts a method but adds conditionals to handle the case when the fields are null. So right is not a refactoring either.;Yes
77;retrofit;71f622ce51031b152a0be6ad5facfb27a654bf5a;retrofit.RequestBuilder;build();[88];[96, 97, 100, 95];"Left changed the argument of a method call and chained it with another call. Semantically, it inserts ""?"" in the middle of a string stored in the url variable.";Right adds an if statement that surrounds an assignment (which comes from base) to the url variable.;Yes
78;RxJava;1c47b0cb26e6d971eefa42ebb3479099236b0125;rx.concurrency.TestScheduler;triggerActions(long);[100];[96, 97, 95];Left moves the value assignment of the field time from the first IF declaration to the end of the method declaration.;Right adds a new IF declaration. Now, an external method call is done only if current TimedAction object is not canceled.;No
79;RxJava;a40a4130edcdadc2340da5787ca30353018173f2;rx.internal.operators.OperatorMulticast;connect(Action1<?superSubscription>);[94];[128, 129, 131, 117, 118, 119, 120, 121, 122, 124, 125];Left modifies subscription.;Right modifies subject.;No
80;SimianArmy;345ad9513aafff397050d613fa87ad06ddffe99d;com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext;getInstanceJanitor();[227, 228, 229, 230];[232, 233, 234, 235, 237, 238];Left updates the rule added in ruleEngine by method addRule().;Right adds a new if statement, which may also add a new rule in ruleEngine.;No
81;SimianArmy;c39c19bc6b9231601f6bc7358e638a99adf37e0d;com.netflix.simianarmy.basic.BasicSimianArmyContext;BasicSimianArmyContext(String);[128, 129, 130, 131, 115, 132, 133, 134, 135, 141, 126, 127];[112, 113, 114, 115, 110, 111];Left adds five new five fields on the class and their instantiations.;Right changes the contents that are written on the field LOGGER.;No
82;spring-boot;958a0a45f164601d01cb706c19f22ed3e25eff56;org.springframework.boot.autoconfigure.mongo.MongoProperties;builder(MongoClientOptions);[272];[261, 262, 263, 264, 265, 266, 267, 268, 271];Left changes one attribute of an object using a set method;Left changes nine attributes of an object using a set method;No
83;spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;org.springframework.boot.loader.archive.ExplodedArchiveTests;getUrl();[];[];Equals to the base class;Changed a test assert;No
84;spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;org.springframework.boot.loader.archive.ExplodedArchive;getUrl();[];[];Left removes one parameter (handler) for the new URL object, that is returned by the method.;Right updates one parameter used to create the URL object that is returned by the method, by calling toURL();No
85;spring-boot;ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c;org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory;createDeploymentManager(ServletContextInitializer);[357, 358, 359, 360, 345, 361, 362];[364];Left sets one attribute of object deployment, which is used to create the returned method object manager.;"Right modifies the way the returned manager object is created; before, it was done by calling the method defaultContainer from Servlets, and now it’s done by calling the method newContainer.";No
