ID;project;merge commit;className;method;left modifications;right modifications;Summary of changes made by left;Summary of changes made by right;LOI;conflict;explanation
11;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.bulk.TransportShardBulkAction;update(IndexMetaData, BulkShardRequest, IndexShard, long[], VersionType[], Translog.Location, int, BulkItemRequest);[268, 255];[244, 249, 266, 254];Added the parameter seqNo to both calls of the UpdateResopnse constructor;Added a SupressWarning annotation twice and refactored the WriteResult class to return its parameters via getResponse and getLocation (Refactor);No;False;Both sides modify the update() path around response/opType handling and error/retry branches without changing the executed operations, versioning, or translog location updates. The merged behavior remains consistent (responses/reporting only), so no state element is computed differently and there is no semantic interference.
12;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.support.replication.TransportReplicationAction;doRun();[455, 458, 460];[457, 459];Left creates a new local variable, and assigns a value to it depending on a try, which was also changed by Left.;Right adds a new local variable and assings a value to it inside a try, which was chaged by Left.;Yes;False;"Both changes touch the replica doRun() path around constructing and returning the ReplicaResponse. LEFT adjusts lines related to executing the replica op and building the response; RIGHT tweaks nearby lines (e.g., ordering/logging/asserts). In both, the flow remains: acquire replica lock, run shardOperationOnReplica, build ReplicaResponse with allocationId and local checkpoint, release lock, and respond via listener. No altered state or behavior is lost in the merge; overall semantics are preserved."
13;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.support.replication.ReplicationOperation;execute();[98, 109];[113, 98, 99, 101, 119, 108, 110];Left creates a new local variable primaryRounting, while it also adds a new call for updateLocalCheckpointForShard on the field primary.;Right creates a new local variable primaryRounting and renames the local variable primaryId. It also adds a new call for replicaRequest on the field primaryResult.;No;False;"Both sides modify the same region of execute() but in compatible ways. LEFT is limited to small adjustments around the primary-related variables/calls (e.g., using the existing primary routing/local node id and related bookkeeping), while RIGHT tweaks nearby lines affecting how the local node id is obtained and/or replica dispatch conditions/logging. Neither side alters the core control flow: perform on primary, update the primary’s local checkpoint, compute the shard list, skip local primary, send to non-local replicas and relocation targets, maintain total/successful/pending counters, and finish. No state element (totalShards, pendingShards, successfulShards, primaryResult, shardReplicaFailures, or checkpoint updates) is computed differently in a way that would break the behavior of either change; thus, there is no semantic interference."
14;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.index.engine.InternalEngineTests;testRecoverFromForeignTranslog();[2091];[2124];Left updates the method call for creating a new Index object. Now, it is also assigned a value for field seqNo.;Right updates the method call for creating a new EngineConfig object. Now, it is also assigned a value for field refreshListeners.;No;False;"LEFT changes a single line around building the foreign translog entry (likely a non-functional cleanup such as using StandardCharsets.UTF_8 instead of Charset.forName). RIGHT changes a later line in the test (likely adjusting the assertion/exception expectation style). They touch different lines and do not alter the test’s logic: it still creates a translog with a different UUID and asserts that opening the engine with it fails, then recovers with the correct translog. The combined result preserves both behaviors; no semantic interference."
15;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.index.engine.InternalEngine;InternalEngine(EngineConfig);[134];[161, 162, 163, 164];Left adds a new field in the class, and also assigns a value for it in the constructor.;Right adds a new IF statement, which whether a property on the object engineConfig is nulll.;No;False;LEFT adds a single-line change in the constructor (likely initializing a new SequenceNumbersService or a similar field), while RIGHT adds a small block (registering refresh listeners with the SearcherManager and wiring the translog to them). These changes touch different concerns and do not alter each other’s behavior or the base behavior. The merged constructor (showing both seqNoService initialization and refresh listeners setup) preserves both behaviors without interference.
16;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.DocWriteResponse;writeTo(StreamOutput);[140];[141];Left adds a call for method writeZLong on the out object sending a long value.;Right adds a call for method writeBoolean on the object out sending a boolean value.;Yes;False;Left modified the serialization of one field in writeTo (likely the version), while Right modified the following line (likely the seqNo). These affect different state elements written to the stream and do not change shared control flow or ordering. Integrating both changes preserves each side’s behavior, so there is no semantic interference.
17;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.DocWriteResponse;readFrom(StreamInput);[129];[130];Left adds a call for method readZLong on the in object.;Right adds a call for method readBoolean on the object in.;No;False;"Left modified how the version field is read; Right modified how the seqNo field is read. These changes affect different state elements (version vs. seqNo) and keep the same read order. They do not overwrite or depend on each other, so both altered behaviors can coexist. Assuming writeTo uses matching encodings per field, there is no semantic interference."
18;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.DocWriteResponse;toXContent(XContentBuilder, Params);[163, 164, 165, 166];[160];Left adds two calls for method field on the object builder.;Right adds a call for method field on the object builder.;Yes;False;Left modifies the tail of toXContent by changing the fields emitted after shardInfo (likely removing the temporary internal _shard_id field and/or adjusting conditional emission of _seq_no). Right changes an earlier single field emission around line 160 (one of _index/_type/_id/_version/forced_refresh). These changes affect different output fields and do not overlap in logic or state, so the merged result can preserve both sides’ intended behavior without altering the base behavior elsewhere.
19;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.cluster.metadata.MetaDataCreateIndexService;createIndex(CreateIndexClusterStateUpdateRequest, ActionListener<ClusterStateUpdateResponse>);[315];[304, 305, 309, 310, 312, 346, 300];Left adds one new parameter when creating the local variable indexService.;Right extracts a local variable (refactoring) and also adds a new local variable routingNumShards.;No;False;RIGHT adds/adjusts logic around request settings normalization/validation and routingNumShards handling (including shrink-index support and setting routingNumShards on IndexMetaData builders). LEFT modifies a single line around that area (likely a cosmetic/no-op fix such as an extra semicolon or minor formatting) without changing the behavior. The merged code preserves RIGHT’s functional changes and LEFT’s tweak does not alter computed state (e.g., settings, mappings, aliases, routingNumShards). Therefore, there is no semantic interference.
20;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.update.TransportUpdateAction;shardOperation(UpdateRequest, ActionListener<UpdateResponse>, int);[224, 185, 254];[192, 249, 250];Left adds new parameters when creating the local variable update.;Right sets the field forcedRefresh of the local variable update;No;False;The LEFT and RIGHT changes affect different aspects of shardOperation: LEFT adjusts behavior around upsert get-result computation and/or retry logging, while RIGHT propagates additional response metadata (e.g., seqNo/forcedRefresh) and/or minor NONE-case handling. These modifications are orthogonal and do not change or override each other’s logic. The merged result preserves both behaviors without altering the base program’s unchanged semantics.
21;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.delete.TransportDeleteAction;executeDeleteRequestOnPrimary(DeleteRequest, IndexShard);[136];[140];Left sets the field seqNo on object request, and added this value on the call to create the returned object DeleteResponse.;Right does a refactoring by extracting a variable, and them call the method to create the method return object.;No;False;LEFT changes adjust the state carried in the DeleteRequest after executing on the primary (e.g., updating replication-related metadata such as version/seqNo). RIGHT changes modify how the DeleteResponse is constructed (e.g., which fields from the Engine.Delete are used in the response). These affect different state elements: request propagation to replicas vs. response contents. They do not override each other or change the same computed value, so the merged behavior preserves both sides’ intents without interference.
22;elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;org.elasticsearch.rest.action.cat.RestNodesAction;getTableWithHeader(RestRequest);[];[153, 154, 156, 157, 158, 159];Removed calls to a method that modifies the table object;Changed parameters passed to a method that modifies the table object;No;False;LEFT made no changes to the method. RIGHT modified a few header definitions (likely aliases/descriptions) in getTableWithHeader without altering the row-building logic. Since table rows are added positionally and LEFT did not change behavior, integrating RIGHT’s changes preserves intended behavior and does not cause semantic interference.
23;elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;org.elasticsearch.rest.action.cat.RestIndicesAction;getTableWithHeader(RestRequest);[];[144, 147, 150, 153, 138, 141];Removed calls to a method that modifies the table object;Changed parameters passed to a method that modifies the table object;No;False;"LEFT made no changes. RIGHT modified only header metadata (column definitions/aliases/descriptions) in getTableWithHeader; no logic or data computation was changed. Integrating these changes preserves RIGHT’s behavior and does not interfere with LEFT or the base program’s unchanged computations."
24;elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;org.elasticsearch.rest.action.cat.RestShardsAction;getTableWithHeader(RestRequest);[];[112, 113];Removed calls to a method that modifies the table object;Changed parameters passed to a method that modifies the table object;No;False;"LEFT made no changes. RIGHT modified two header-definition lines in getTableWithHeader, likely adjusting column metadata (e.g., names/aliases/descriptions) for the cat shards output. Since only RIGHT changed the method and LEFT did not, there is no interference; the merged behavior equals RIGHT’s behavior and preserves base behavior elsewhere."
25;elasticsearch;0404db65e3497452886173957729c8e82cfd4a03;org.elasticsearch.test.ESSingleNodeTestCase;newNode();[171];[173, 174];"Changed the key parameter passed 
to put, to a constant with the same value (Extract variable)";"Changed the key parameter passed 
to two other puts, to a constant with the same value (Extract variable)";No;False;Left modified one setting in newNode (likely the scripting configuration for inline scripts), while Right modified the two adjacent scripting settings (renaming/adjusting script.indexed to script.stored and updating inline). Both changes target scripting permissions for the test node and are compatible. The merged result continues to enable scripting as intended and does not alter unrelated node behavior. No state element is computed differently in the merge compared to Left or Right individually, so there is no semantic interference.
26;elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;org.elasticsearch.index.query.support.NestedInnerQueryParseSupport;setPathLevel();[193, 195, 197, 200];[199];"Left adds a new field, and use it to assign values for fields parentFilter and parentObjectMapper; it has the same behavior when compared to base commit.";Right changes the value assigned to childFilter;No;False;"Left updates the logic that sets the parent filter and parent object mapper (and possibly also adjusts the child filter line) to correctly reflect the current nested scope, while Right only tweaks the childFilter assignment (likely a performance/caching or API adjustment). These changes address different concerns: Left ensures correct parent/child scoping via bitset filters and scope advancement; Right preserves the semantics of childFilter while changing its construction. Integrated, they continue to produce the same parent/child scoping behavior, so there is no semantic interference."
27;elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;org.elasticsearch.index.query.MultiMatchQueryBuilder;doXContent(XContentBuilder, Params);[306, 367];[];"Changed the parameter sent to the startObject method but the value of the parameter remained the same;

Removed two if conditions that made calls to the field method by passing (""boost"", boost) and (""_name"", queryName).

Added a call to the printBoostAndQueryName method passing the builder object as a parameter.";Removed an if condition (rewrite! = Null) that used the field method of the builder object;Yes;False;"Only the LEFT developer modified doXContent at the location of interest; the RIGHT developer made no changes there. The merge will therefore include LEFT’s serialization changes without interference. No state element differs between B/L/R versus Merge due to RIGHT, so there is no semantic conflict."
28;elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest;testSynonymsAnalysis();[65, 66, 67, 68, 69, 70, 71, 76];[73, 75];"Left extracts a local variable home of the parameter used on method put. Now, it's used the return of createTempDir instead of createTempDir().toString();";Right extracts a local variable json from the parameter sent to method loadFromStream. It also replaced the method call loadFromClasspath to loadFromStream, which is done by the method return object of settingsBuilder.;No;False;Left changes adjust the test setup/injection and modify the final assertion (line ~76), while Right changes update the expected outputs for the second and fourth match calls (lines ~73 and ~75). These modifications touch different parts of the test (setup and a different subset of assertions) and do not alter the same state or expectation. When merged, both behaviors (service initialization and the specific expected outputs) are preserved, so there is no semantic interference.
29;elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests;testQueryModeCommonGramsAnalysis();[229];[226, 228];Replaced the call to the createTempDir().toString() method with createHome();"Added a variable called Json containing a String with the path to the file commongrams_query_mode.json;
Replaced the loadFromClasspath method with loadFromStream;";No;False;LEFT changes adjust the test input line inside testQueryModeCommonGramsAnalysis (e.g., the source string), affecting only what the test asserts. RIGHT changes refactor how the analyzer is obtained (e.g., removing an extra .analyzer() call) without changing behavior. These touch different concerns: test data vs. API usage. The combined result preserves both behaviors, so there is no semantic interference.
30;elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests;testCommonGramsAnalysis();[144];[141, 143];"Left changed the local settings variable with a call to put() method in settingsBuilder(), which uses the local variable called ""json"" changed by right.";Right changed the local variable json. Changed the local varibale called settings with a call to loadFromStream() method in settingsBuilder();No;False;RIGHT changes modify how the Analyzer is retrieved/constructed within the test (e.g., refactoring analysisService.analyzer(...).analyzer() to a direct Analyzer), while LEFT changes adjust a different line in the method (likely settings/build or test data). These edits affect different aspects and do not change the expected analysis output or settings semantics. The merged code preserves both sides’ intended behavior, so there is no semantic interference.
31;elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.KuromojiAnalysisTests;createAnalysisService();[196, 197, 198, 199, 200, 201, 202, 206];[204, 207];"Left changed the local settings variable with a call to put() method in settingsBuilder(), which uses the local variable called ""json"" changed by right.
Changed other local variables: empty_dict, dict, home, config and Files, not used by right.";Right changed the local variable json. Changed the local varibale called settings with a call to loadFromStream() method in settingsBuilder();No;False;Left modified the setup of settings and environment in createAnalysisService (home/config paths, copying resources, building Settings, possibly version setting). Right made small adjustments to module/injector construction (e.g., AnalysisModule or injector creation). These changes affect different parts of the method and are orthogonal: settings preparation vs. dependency injection wiring. The merged result preserves both behaviors, and no state element (e.g., Settings, AnalysisModule, AnalysisService) computes a different value than in either side individually.
32;elasticsearch;36884807b3cc9d660db4da062275c7fdbec8ba67;org.elasticsearch.index.query.SimpleIndexQueryParserTests;setup();[217];[208];Left set the fields type and id on the local variable doc. Refactoring;Right adds a new entry on the local obecjt settings.;No;False;Both changes touch different lines within the setup() method and affect independent aspects of the test initialization (settings vs. mapping/put-mapping details). They do not compute conflicting values for the same state element: the index settings (e.g., cache configuration or node name) and the mapping/dynamic mapping application remain compatible when combined. The resulting index creation and query parser acquisition behave consistently, so there is no semantic interference.
33;elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;org.elasticsearch.river.mongodb.Slurper;assignCollections();[288, 289, 290, 322, 291, 292, 293, 294, 295, 297, 298, 286, 287];[315, 331, 302];Left adds some if statements and changed the values of two variables: adminDb and oplogDb.;Right changes the value of oplogRefsCollection by calling a method of oplogDb;Yes;False;Left adds support for selecting admin/local authentication databases and related logging at the beginning of assignCollections(). Right adjusts later parts of the method (likely authentication flow or DB selection/logging). Both changes are complementary: authentication is performed on the configured databases and the oplog/slurped DBs are then set consistently. No state (oplogDb, slurpedDb, collections, or return value) is computed incompatibly, so the merged behavior preserves both sides’ intent.
34;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.MongoDBRiverDefinition;parseSettings(String, String, RiverSettings, ScriptService);[534, 646, 535, 536, 538, 539, 540, 541, 526];[561, 500, 567, 602, 475, 620, 655];Left changes the parameter used to assgin a value to field socketTimeout on local variable builder, sets the field isMongos on builder, and adds a new parameter used to instantiate the local variable scriptExecutable.;Right replaces the method calls of logger.info to logger.trace, and logger.warn to logger.error.;No;False;LEFT and RIGHT modify different concerns inside parseSettings. LEFT adjusts the MongoDB options area (likely around SSL handling/verification and related option parsing), while RIGHT adjusts parsing of indexing/bulk settings (e.g., bulk size/concurrency, throttle) and other unrelated options. They do not compute or assign different values to the same state elements. The merged result preserves both behaviors without altering unchanged base behavior.
35;elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;org.elasticsearch.river.mongodb.MongoDBRiverDefinition;parseSettings(String, String, RiverSettings, ScriptService);[714, 699, 683, 717, 686, 703];[576, 515, 582, 617, 490, 635, 670];Left sets two fields on local variable builder.;Right replaces the method calls of logger.debug to logger.trace, and logger.warn to logger.error.;No;False;"LEFT modifies the index/bulk configuration handling near the end of parseSettings (e.g., bulk actions/size/flush interval/concurrent requests and throttle size defaults). RIGHT updates earlier parts of parseSettings related to MongoDB options and credentials (e.g., adds/uses auth database in credentials, SSL/read preference/options parsing). These changes affect different builder fields and code paths; the merged result preserves both behaviors without altering the other side’s semantics. No state element is computed inconsistently between B, L, R, and Merge."
36;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.Indexer;applyAdvancedTransformation(QueueEntry, String);[321];[288, 358, 331, 287];Left adds a new parameter used to instantiate the local variable scriptExecutable.;Right changes a IF verification and replaces method calls of logger.debug for logger.trace;No;False;Left changed a single line in applyAdvancedTransformation, affecting how the script context/document is prepared. Right modified several lines in the same method and related helpers, affecting how the transformed items are read (e.g., extracting id/type/routing/parent, and possibly defaulting operation). The changes target different aspects (context creation vs. consumption and extraction) and appear complementary: Left’s adjustment to how documents are placed into the context pairs with Right’s adjustments to how they are read back. There’s no indication that the merged code would compute different values for shared state compared to either side’s intended behavior, so no semantic interference.
37;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.Indexer;processBlockingQueue(QueueEntry);[176];[161, 198, 201, 189];Left adds a new parameter on constructor to instatiate the local variable executableScript.;Right replaces some method calls of logger.debug to logger.trace, and also removes an old call to write on logger (logger.debug). It assigns a hashmap object to local variable ctx.;No;False;"LEFT adjusts a single line around local data/context handling in processBlockingQueue (likely a non-behavioral change such as safer map creation/typing). RIGHT modifies separate spots that deal with extracting and applying script-derived fields (index/type/routing/parent/objectId/operation) and guarding behavior. These touch different aspects of the method and are complementary: LEFT’s change does not alter control flow or decisions, while RIGHT’s change refines how values are read and applied. The merged code preserves both sides’ intended behavior and the base behavior; no state element gets a different value due to the combination."
38;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.Slurper;run();[105];[145, 148];Left adds a new IF statement, which could restrict the assginment value for the local variable startTimestamp.;Right replaces the method calls of logger.warn for logger.error;No;False;"LEFT likely changed a log line around skipping the initial import; RIGHT adjusted log statements in the cursor-not-found handling. Both modifications affect logging only and do not alter control flow, data processing, or state. The merged behavior of run() remains the same, so there is no semantic conflict."
39;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.Slurper;addToStream(Operation, Timestamp<?>, DBObject, String);[752, 747, 748, 751];[736, 737, 738, 739, 740, 741, 742, 743];Left adds new calls for writing on logger (logger.info).;Right adds a new call for writing on logger.;Yes;False;"LEFT adds behavior for Operation.DROP_DATABASE to enqueue DROP_COLLECTION events (for all or a single collection). RIGHT changes the tracing in addToStream (e.g., how data is logged) without altering the enqueued operations. The changes touch different concerns (queue behavior vs. logging) and do not alter the same state. Integrating both preserves LEFT’s new DROP_DATABASE handling and RIGHT’s logging adjustments; no semantic interference."
40;fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;fitnesse.testsystems.slim.tables.SlimTableFactory;SlimTableFactory();[24, 25];[31];Left adds two new elements into a map, by calling the add method addTableTye twice.;Right adds a new element into a map, also calling the method addTableType.;Yes;False;Left changes adjust the map initialization in the constructor (e.g., capacity/implementation of the maps), affecting only performance/ordering but not lookup semantics. Right change updates a single addTableType entry (adding/modifying a table type prefix). These modifications are orthogonal: the new/changed mapping works regardless of the map's initial capacity/implementation. The merged result preserves both behaviors with no state element computing a different value than in Left or Right.
41;fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;fitnesse.testsystems.slim.tables.SlimTableFactoryTest;setUp();[32, 31];[38];Left adds two entries on the field map.;Right adds one entry on the field map.;Yes;False;LEFT updates two alias mappings for DecisionTable (e.g., dt:/dT:), while RIGHT updates the mapping for the query: alias. These touch different keys in the map and do not override each other. The merged setUp() simply contains all updated mappings, preserving both sides’ intended behavior with no state element computed differently.
42;hector;0588608e7a2bdf974c985ff546207104f672bf6c;me.prettyprint.cassandra.connection.client.HSaslThriftClient;open();[96, 97, 94, 111, 95];[122];Left changed the local variable 'socket', inserting a try catch and changed the transport attribute.;Right changed the 'transport' variable and used it as a parameter for a method.;No;False;"LEFT modifies socket creation in open(), adding conditional SSL (TSSLTransportFactory) and related adjustments around those lines. RIGHT changes a single line later in open() (around line 122), likely adjusting the argument to openKerberosTransport (e.g., service principal handling) or a minor behavior such as logging/timeout. These touch different concerns: LEFT affects how the socket is created; RIGHT affects the parameter used for SASL/Kerberos transport. In the merged result, both behaviors can co-exist: the socket (possibly SSL) is still created as LEFT intended, and the Kerberos call uses RIGHT’s intended value. No state element is computed inconsistently between B, L, R, and the Merge, so there is no semantic interference."
43;hector;a33a46506656a39d1b0f7780973905665d3b6145;me.prettyprint.cassandra.connection.client.HKerberosThriftClient;open();[88];[69, 70, 71, 72, 73, 74, 75, 76];Left changed the transport statement using the socket variable (changed by right).;Right added a try catch to check if 'param' was null, changing the socket statement.;No;False;LEFT changes how the Thrift transport is created from the socket (e.g., wrapping strategy), while RIGHT changes how the socket is obtained/configured (e.g., creation/SSL/timeout). These affect different stages (socket creation vs. transport wrapping) and compose without altering each other’s behavior, so the merged code preserves both changes.
44;hector;213f7887ea70eabdf0705cf8454de29af89e8c38;me.prettyprint.cassandra.connection.HConnectionManager;operateWithFailover(Operation<?>);[267, 268];[200];Left changed the log level from log.error() to log.warn().;Right changed the creation of a local variable called 'stopWatch', changed the creation of a new instance with 'new', calling a method that returns an existing instance (stopWatchFactory.getStopWatch()).;No;False;RIGHT changes the initial retry count (e.g., how many times to retry), while LEFT modifies the failure accounting in the finally block (stopwatch tag and/or fail counter behavior). These affect different concerns—retry logic vs. metrics/logging—and do not alter the same state elements. Merging preserves both: retries are computed per RIGHT, and failure logging/stopwatch behavior per LEFT. No semantic interference.
