ID;project;merge commit;className;method;left modifications;right modifications;Summary of changes made by left;Summary of changes made by right;LOI;conflict;explanation
35;elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;org.elasticsearch.river.mongodb.MongoDBRiverDefinition;parseSettings(String, String, RiverSettings, ScriptService);[714, 699, 683, 717, 686, 703];[576, 515, 582, 617, 490, 635, 670];Left sets two fields on local variable builder.;Right replaces the method calls of logger.debug to logger.trace, and logger.warn to logger.error.;No;False;Left adds assignments to two builder fields in parseSettings, affecting configuration state. Right only changes log levels (debug->trace, warn->error). These changes touch different concerns and do not alter or interfere with computed program state. The merged result preserves Left’s builder values and Right’s logging behavior, so there is no semantic conflict.
36;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.Indexer;applyAdvancedTransformation(QueueEntry, String);[321];[288, 358, 331, 287];Left adds a new parameter used to instantiate the local variable scriptExecutable.;Right changes a IF verification and replaces method calls of logger.debug for logger.trace;No;False;Left changes only add an extra argument when creating the ExecutableScript (affecting the script’s execution context) and possibly rename the local variable. Right changes only adjust logging levels (debug->trace) and a benign IF condition check. These are orthogonal: logging and the minor condition tweak do not affect the script instantiation or data processing logic. The merged code preserves both behaviors without changing computed state (e.g., ctx/documents, operation, id, routing/parent).
37;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.Indexer;processBlockingQueue(QueueEntry);[176];[161, 198, 201, 189];Left adds a new parameter on constructor to instatiate the local variable executableScript.;Right replaces some method calls of logger.debug to logger.trace, and also removes an old call to write on logger (logger.debug). It assigns a hashmap object to local variable ctx.;No;False;"Left adds a parameter to scriptService.executable to pass a logger into the script; Right changes logging levels and initializes ctx as a new HashMap. These changes affect different concerns (script initialization vs. logging) and do not alter the computed state (operation, index/type, routing, parent, id, data). Both can coexist without altering each other’s behavior; the merged code preserves Left’s new script parameter and Right’s logging/ctx initialization."
38;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.Slurper;run();[105];[145, 148];Left adds a new IF statement, which could restrict the assginment value for the local variable startTimestamp.;Right replaces the method calls of logger.warn for logger.error;No;False;Left adds a conditional that restricts when startTimestamp is assigned during initial import, affecting the starting point for oplog slurping. Right only changes logging severity (warn -> error) in exception handlers. These modifications touch different concerns (state vs. logging), do not compute or depend on the same state elements, and their integration preserves both behaviors. Therefore, there is no semantic merge conflict.
39;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.Slurper;addToStream(Operation, Timestamp<?>, DBObject, String);[752, 747, 748, 751];[736, 737, 738, 739, 740, 741, 742, 743];Left adds new calls for writing on logger (logger.info).;Right adds a new call for writing on logger.;Yes;False;Both LEFT and RIGHT only add logging statements inside addToStream. They do not alter control flow, data enqueued to the stream, timestamps, operation types, or any stateful variables. As such, the integrated behavior of the program (outside of logs) remains the same, so there is no semantic merge conflict.
40;fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;fitnesse.testsystems.slim.tables.SlimTableFactory;SlimTableFactory();[24, 25];[31];Left adds two new elements into a map, by calling the add method addTableTye twice.;Right adds a new element into a map, also calling the method addTableType.;Yes;False;"Both changes add new table type mappings via addTableType in the constructor. These are additive to the tableTypes map and, assuming distinct keys (names/prefixes), they do not alter existing behavior or each other's behavior. The code guards against duplicate keys by throwing an exception; there is no indication that both sides added the same key, so the merge preserves all behaviors without interference."
41;fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;fitnesse.testsystems.slim.tables.SlimTableFactoryTest;setUp();[32, 31];[38];Left adds two entries on the field map.;Right adds one entry on the field map.;Yes;False;"Both sides only add new key→class mappings to the test map in setUp(). The map is used to iterate and assert correct table creation; adding entries is additive and independent. There’s no evidence of the same key being mapped to different classes, so the merged result simply includes all added entries and preserves behavior."
42;hector;0588608e7a2bdf974c985ff546207104f672bf6c;me.prettyprint.cassandra.connection.client.HSaslThriftClient;open();[96, 97, 94, 111, 95];[122];Left changed the local variable 'socket', inserting a try catch and changed the transport attribute.;Right changed the 'transport' variable and used it as a parameter for a method.;No;False;"Left refactors socket creation (adds try/catch, supports SSL) and assigns the opened Kerberos transport to the instance field 'transport'. Right uses 'transport' as an argument to another method (likely wrapping/initializing protocol). These changes are orthogonal: Left ensures 'transport' is properly created; Right consumes it. No shared state computes different values, and the merged behavior preserves both sides’ intents."
43;hector;a33a46506656a39d1b0f7780973905665d3b6145;me.prettyprint.cassandra.connection.client.HKerberosThriftClient;open();[88];[69, 70, 71, 72, 73, 74, 75, 76];Left changed the transport statement using the socket variable (changed by right).;Right added a try catch to check if 'param' was null, changing the socket statement.;No;False;"Right adds SSL-aware socket creation with a try/catch; Left changes the transport initialization to use the socket variable. These are complementary: the merged code wraps whatever socket Right created (plain or SSL) and preserves Left’s transport behavior. Keepalive and Kerberos steps still operate on socket.getSocket(). No altered or unchanged behavior is lost."
44;hector;213f7887ea70eabdf0705cf8454de29af89e8c38;me.prettyprint.cassandra.connection.HConnectionManager;operateWithFailover(Operation<?>);[267, 268];[200];Left changed the log level from log.error() to log.warn().;Right changed the creation of a local variable called 'stopWatch', changed the creation of a new instance with 'new', calling a method that returns an existing instance (stopWatchFactory.getStopWatch()).;No;False;"Left only changes logging severity (error -> warn) in the catch path; Right changes how the StopWatch is obtained (from new to StopWatchFactory). These affect different concerns (logging level vs. performance timing acquisition) and do not alter shared state or control flow. The merged result preserves both behaviors without interference."
45;hector;a33a46506656a39d1b0f7780973905665d3b6145;me.prettyprint.cassandra.connection.client.HThriftClient;open();[164];[147, 148, 149, 150, 151, 152, 169, 153, 154];Left changed the transport statement using the socket variable (changed by right).;Right added a try catch to check if 'param' was null, changing the socket statement. And added a condition to check that the 'transport' attribute was not open (! Transport.isOpen ()).;No;False;Right introduces the socket variable (with SSL-aware creation and a try/catch) and adds an isOpen guard before opening the transport. Left only changes the transport initialization to use that socket variable. These changes are complementary: Left’s refactor relies on the socket created by Right, and Right’s isOpen check still applies. The merged code preserves Right’s new behavior (proper socket creation and avoiding double-open) and Left’s refactor without altering base behavior elsewhere, so there is no semantic interference.
